order_id,customer_id,order_date,product_category,price
1000,cust_000,2017-08-31,toys,81.74
1001,cust_000,2017-09-28,electronics,111.03
1002,cust_001,2017-03-14,health_beauty,62.68
1003,cust_002,2017-08-12,  books  ,146.14
1004,cust_003,2017-08-30,sports,42.5
1005,cust_003,2017-09-13,health_beauty,148.02
1006,cust_003,2017-10-11,toys,20.03
1007,cust_004,2017-02-06,sports,27.9
1008,cust_004,2017-02-18,home_garden,61.21
1009,cust_004,2017-03-23,electronics,16.52
1010,cust_004,2017-05-02,toys ,196.4
1011,cust_005,2017-06-08,toys,28.12
1012,cust_005,2017-07-20,books,123.99
1013,cust_006,2017-03-27,toys,45.7
1014,cust_007,2017-08-18,sports,208.59
1015,cust_008,2017-07-26,sports,66.26
1016,cust_008,2017-09-04,electronics,23.06
1017,cust_009,2017-04-29,sports,118.77
1018,cust_009,2017-05-07,sports,61.93
1019,cust_009,2017-06-19,sports,45.25
1020,cust_009,2017-08-07,toys,
1021,cust_009,2017-10-03,books,31.1
1022,cust_009,2017-11-03,electronics,132.8
1023,cust_010,2017-02-17,health_beauty,128.75
1024,cust_011,2017-07-23,sports,72.69
1025,cust_012,2017-02-27,health_beauty,15.25
1026,cust_012,2017-04-14,toys,172.67
1027,cust_012,2017-06-01,health_beauty,56.46
1028,cust_012,2017-06-18,health_beauty,61.9
1029,cust_012,2017-07-31,toys,30.31
1030,cust_012,2017-09-02,electronics,117.97
1031,cust_013,2017-09-20,electronics,57.15
1032,cust_014,2017-08-16,home_garden,76.31
1033,cust_014,2017-09-08,books,275.99
1034,cust_014,2017-10-04,toys,96.69
1035,cust_015,2017-03-11,sports,16.64
1036,cust_015,2017-04-03,electronics,30.41
1037,cust_015,2017-05-05,health_beauty,103.76
1038,cust_015,2017-06-12,health_beauty,7.39
1039,cust_016,2017-06-24,electronics,45.97
1040,cust_016,2017-08-12,electronics,85.38
1041,cust_016,2017-10-04,toys,60.29
1042,cust_016,2017-10-25,books,86.77
1043,cust_016,2017-12-15,home_garden,111.96
1044,cust_016,2018-01-20,health_beauty,33.1
1045,cust_017,2017-07-19,toys,55.77
1046,cust_017,2017-08-17,toys,36.05
1047,cust_017,2017-09-18,health_beauty,133.24
1048,cust_017,2017-11-11,sports,123.43
1049,cust_018,2017-03-04,electronics,32.11
1050,cust_019,2017-03-30,books,68.29
1051,cust_020,2017-04-24,electronics,42.86
1052,cust_021,2017-02-24,sports,170.61
1053,cust_021,2017-03-30,electronics,239.64
1054,cust_021,2017-05-20,health_beauty,20.05
